,titre,budget,recette,duree,realisateur,casting,compagnies_production,suite,Comedy,Drama,Horror,Thriller,Action,Adventure,Science Fiction,Fantasy,Family,Crime,Romance,Animation,Mystery,War,Music,Western,History,Documentary,TV Movie,benefice global,saison,casting_score_sum,casting_score_mean,casting_score_med,casting_score_min,casting_score_max,director_score_sum,director_score_mean,director_score_med,director_score_min,director_score_max,compagnies_score_sum,compagnies_score_mean,compagnies_score_med,compagnies_score_min,compagnies_score_max
1323,Men in Black,90000000,589390539,98,['Barry Sonnenfeld'],"['Tommy Lee Jones', 'Will Smith', 'Linda Fiorentino', ""Vincent D'Onofrio"", 'Rip Torn', 'Tony Shalhoub', 'Siobhan Fallon Hogan', 'Mike Nussbaum', 'Jon Gries', 'Sergio Calderón', 'Carel Struycken', 'Fredric Lehne', 'Richard Hamilton', 'Kent Faulcon', 'John Alexander', 'Ken Thorley', 'Patrick Breen', 'Becky Ann Baker', 'Sean Whalen', 'Harsh Nayyar', 'Michael Willis', 'Willie C. Carpenter', 'Peter Linari', 'David Cross', 'Charles C. Stevenson Jr.', 'Boris Leskin', 'Steve Rankin', 'Andy Prosky', 'Michael Goldfinger', 'Alpheus Merchant', 'Norma Jean Groh', 'Bernard Gilkey', 'Sean Plummer', 'Michael Kaliski', 'Richard Arthur', 'Debbie Lee Carrington', 'Verne Troyer', 'Mykal Wayne Williams', 'Tim Blaney', 'Mark Setrakian', 'Brad Abrell', 'Thom Fountain', 'Carl J. Johnson', 'Drew Massey', 'Christina Benitan', 'Danny DeVito', 'John Elsen', 'Newt Gingrich', 'Karen Lynn Gorney', 'Adrian Lee', 'Patricia McPherson', 'Isaac Mizrahi', 'Fred Newman', 'Joe Paparone', 'Anthony Robbins', 'Al Roker', 'Eliot Sash', 'Marshal Silverman', 'Chloe Sonnenfeld', 'Sylvester Stallone', 'Dionne Warwick']","['Columbia Pictures', 'Amblin Entertainment', 'Parkes+MacDonald Image Nation']",1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,554.8783766666667,1,162,2.6557377049180326,0,0,59,22,22.0,22,22,22,126,42.0,32,0,94
1324,Men in Black II,140000000,445135288,88,['Barry Sonnenfeld'],"['Will Smith', 'Tommy Lee Jones', 'Lara Flynn Boyle', 'Rosario Dawson', 'Johnny Knoxville', 'Rip Torn', 'Tony Shalhoub', 'Patrick Warburton', 'Jack Kehler', 'David Cross', 'Colombe Jacobsen-Derstine', 'Peter Spellos', 'Michael Rivkin', 'Michael Bailey Smith', 'Lenny Venito', 'Howard Spiegel', 'Alpheus Merchant', 'Jay Johnston', 'Joel McKinnon Miller', 'Derek Cecil', 'Sean Rouse', 'Peter Spruyt', 'Marty Belafsky', 'Martha Stewart', 'Michael Jackson', 'Sid Hillman', 'Tom Whitenight', 'Nick Cannon', 'Jeremy Howard', 'Mary Stein', 'Martin Klebba', 'John Alexander', 'Denise Cheshire', 'Ernie Grunwald', 'Chloe Sonnenfeld', 'William E. Jackson', 'Doug Jones', 'Biz Markie', 'Peter Graves', 'Linda Kim', 'Paige Brooks', 'Victoria Jones', 'Michael Garvey', 'Michael Dahlen', 'Kevin Grevioux', 'Derek Mears', 'Philip Goodwin', 'Tim Blaney', 'Greg Ballora', 'Carl J. Johnson', 'Thom Fountain', 'Brad Abrell', 'Michael Beardsley', 'Michael Buonomo', 'Kristin Charney', 'Patrick Coleman Duncan', 'Darrell Foster', 'Gene LeBell', 'Pete Macnamara', 'Drew Massey', 'Matthew McGrory', 'Christopher Metas', ""Alexandra O'Hara"", 'David Patykewich', 'Martin Pfefferkorn', 'David C. Roehm Sr.', 'Leo Rogstad', 'Thomas Rosales Jr.', 'Brandee Sanders', 'Hannah Sim', 'Peter Siragusa', 'Daniel Browning Smith', 'Brian Steele', 'Mark Steger', 'Shannon Watson']","['Columbia Pictures', 'Amblin Entertainment', 'Parkes+MacDonald Image Nation']",2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,217.95377714285715,1,107,1.4266666666666667,0,0,59,22,22.0,22,22,22,126,42.0,32,0,94
1325,Munich,70000000,130982129,164,['Steven Spielberg'],"['Eric Bana', 'Daniel Craig', 'Ciarán Hinds', 'Mathieu Kassovitz', 'Hanns Zischler', 'Geoffrey Rush', 'Ayelet Zurer', 'Michael Lonsdale', 'Lynn Cohen', 'Gila Almagor', 'Moritz Bleibtreu', 'Valeria Bruni-Tedeschi', 'Meret Becker', 'Marie-Josée Croze', 'Yvan Attal', 'Ami Weinberg', 'Amos Lavi', 'Moshe Ivgy', 'Raffi Tavor', 'Sharon Alexander', 'Samuel Calderon', 'Oded Teomi', 'Igal Naor', 'Mostefa Djadjam', 'Abdelhafid Metalsi', 'Lisa Werlinder', 'Hiam Abbass', 'Sasha Spielberg', 'Mouna Soualem', 'Djemel Barek', 'Dirar Suleiman', 'Ziad Adwan', 'Bijan Daneshmand', 'Rim Turki', 'Yonatan Rozen', 'Jonathan Uziel', 'Guy Zo-Aretz', 'Yossi Sagi-Bizawi', 'Liron Levo', 'Ohad Knoller', 'Lyes Salem', 'Carim Messalti', 'Hichem Yacoubi', 'Omar Mostafa', 'Souad Amidou', 'Amrou Al-Kadhi', 'Omar Metwally', 'Nasser Memarzia', 'Karim Quayouh', 'Mihalis Giannatos', 'Faruk Pruti', 'Rad Lazar', 'Laurence Février', 'Habir Yahya', 'Mehdi Nebbou', 'Hicham Nazzal', 'Lemir Guerfa', 'Hisham Suliman', 'Brian Goodman', 'Richard Brake', 'Robert John Burke', 'Yehuda Levi', 'Danny Zahavi', 'Itay Barnea', 'Elyse Klaits', 'Nabil Yajjou', 'Karim Saleh', 'Merik Tadros', 'Mousa Kraish', 'Karim Saidi', 'Moa Khouas', 'David A. Hamade', 'Ben Youcef', 'Sami Samir', 'Guri Weinberg', 'Sam Feuer', 'Sabi Dorr', 'Wojciech Machnicki', 'David Feldman', 'Ori Pfeffer', 'Shmuel Edelman', 'Joseph Sokolsky', 'Lior Perel', 'Ossie Beck', 'Guy Amir', 'Haguy Wigdor', 'Jonathan Avigdori', 'Kevin Collins', 'Daniel Bess', 'Baya Belal', 'Ula Tabari', 'Saïda Bekkouche', 'Fettouma Ousliha-Bouamari', 'Alexander Beyer', 'Amos Shoov', 'Rana Werbin', 'Jane Garioni', 'Félicité Du Jeu', 'Gil Soriano', 'Mordechai Ben-Shachar', 'Amani Zain', 'Leda Mansour', 'Renana Raz', 'Hagit Dasberg', 'Patrick Kennedy', 'Stéphane Freiss', 'Arturo Arribas', 'Yaron Motola', 'Jalil Naciri', 'Martin Ontrop', 'Joram Voelklein', 'Michael Schenk', 'Andreas Lust', 'Tom Wlaschiha', 'Lili Bordán', 'María Casal', 'Sonia Hell', 'Amelia Jacob', 'Sarah Mennell', 'Dianne Zaremba', 'Jim McKay']","['DreamWorks Pictures', 'Universal Pictures', 'Amblin Entertainment', 'Peninsula Films', 'Alliance Atlantis Communications', 'The Kennedy/Marshall Company', 'Barry Mendel Productions']",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87.11732714285715,3,75,0.6198347107438017,0,0,33,100,100.0,100,100,100,171,24.428571428571427,12,0,99
1326,Der Untergang,18339750,92180910,156,['Oliver Hirschbiegel'],"['Bruno Ganz', 'Alexandra Maria Lara', 'Corinna Harfouch', 'Ulrich Matthes', 'Juliane Köhler', 'Heino Ferch', 'Christian Berkel', 'Thomas Kretschmann', 'Ulrich Noethen', 'Birgit Minichmayr', 'Rolf Kanies', 'Justus von Dohnányi', 'Michael Mendl', 'André Hennicke', 'Christian Redl', 'Götz Otto', 'Thomas Limpinsel', 'Thomas Thieme', 'Donevan Gunia', 'Matthias Habich', 'Alexander Held', 'Devid Striesow', 'Dieter Mann', 'Bettina Redlich', 'Heinrich Schmieder', 'Anna Thalbach', 'Dietrich Hollinderbäumer', 'Ulrike Krumbiegel', 'Karl Kranzkowski', 'Thorsten Krohn', 'Jürgen Tonkel', 'Fabian Busch', 'Christian Hoening', 'Dirk Borchardt', 'Elizaveta Boyarskaya', 'Michael Brandner', 'Igor Bubenchikov', 'Martin Butzke', 'Dmitriy Bykovskiy-Romashov', 'Mathias Gnädinger', 'Bohdan Graczyk', 'Norbert Heckner', 'Enno Hesse', 'Julia Jentsch', 'Michael Kind', 'Elisabeth von Koch', 'Konstantin Lukashov', 'Stefan Mehren', 'Katerina Poladjan', 'Tanja Schleiff', 'Christian Schmidt', 'August Schmölzer', 'Jurij Schrader', 'Mariya Semyonova', 'Igor Sergeev', 'Klaus-Jürgen Steinmann', 'Veit Stübner', 'Oliver Stritzel', 'Vsevolod Tsurilo', 'Henning Peker', 'Dieter Rupp', 'Andrey Blagoslovenskiy', 'Valeriy Salomakhin']","['WDR', 'Constantin Film', 'Degeto Film', 'RAI', 'EOS Entertainment', 'ORF', 'NDR']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,402.6290434711488,1,6,0.0952380952380952,0,0,3,0,0.0,0,0,0,21,3.0,0,0,17
1327,The Last Samurai,140000000,456758981,154,['Edward Zwick'],"['Tom Cruise', 'Ken Watanabe', 'Timothy Spall', 'Tony Goldwyn', 'Hiroyuki Sanada', 'Koyuki', 'Shin Koyamada', 'Billy Connolly', 'Togo Igawa', 'Shichinosuke Nakamura', 'William Atherton', 'Chad Lindberg', 'Scott Wilson', 'Ray Godshall Sr.', 'Masashi Odate', 'John Koyama', 'Satoshi Nikaido', 'Shintaro Wada', 'Shun Sugata', 'Sosuke Ikematsu', 'Aoi Minato', 'Seizô Fukumoto', 'Shoji Yoshihara', 'Kosaburo Nomura IV', 'Takashi Noguchi', 'Noguchi Takayuki', 'Sven Toorvald', 'Yuki Matsuzaki', 'Mitsuyuki Oishi', 'Jiro Wada', 'Hiroshi Watanabe', 'Yusuke Myochin', 'Hiroaki Amano', 'Kenta Daibo', 'Koji Fujii', 'Makoto Hashiba', 'Shimpei Horinouchi', 'Takashi Kora', 'Shane Kosugi', 'Takeshi Maya', 'Lee Murayama', 'Takeru Shimizu', 'Shinji Suzuki', 'Hisao Takeda', 'Ryoichiro Yonekura', 'Ryoichi Noguchi']","['Cruise/Wagner Productions', 'Warner Bros. Pictures', 'Bedford Falls Productions', 'Radar Pictures']",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,226.25641500000003,2,91,1.9782608695652173,0,0,79,13,13.0,13,13,13,1,0.25,0,0,1
1328,Wild Things,20000000,67200000,108,['John McNaughton'],"['Kevin Bacon', 'Matt Dillon', 'Neve Campbell', 'Denise Richards', 'Theresa Russell', 'Bill Murray', 'Daphne Rubin-Vega', 'Robert Wagner', 'Carrie Snodgress', 'Jeff Perry', 'Eduardo Yáñez', 'Jennifer Taylor', 'Cory Pendergast', 'Marc Macaulay', 'Toi Svane Stepp', 'Dennis Neal', 'Diane Adams', 'Paulo Benedeti', 'Ted Bartsch', 'Leonor Anthony', 'Antoni Corone', 'Robert Deacon', 'Anthony Giaimo', 'Manny Suarez', 'Janet Bushor', 'Gina LaMarca', 'Nancy Duerr', 'Margo Peace', 'Keith Wilson', 'Nelson Oramas', 'Michael Dean Walker', 'Jesse Muson', 'Kimberly Lamaze', 'Victoria Bass', 'Laurie Wallace']","['Columbia Pictures', 'Mandalay Entertainment']",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,236.0,0,36,1.0285714285714285,0,0,21,0,0.0,0,0,0,94,47.0,47,0,94
1329,The Bodyguard,25000000,411006740,129,['Mick Jackson'],"['Whitney Houston', 'Kevin Costner', 'Gary Kemp', 'Bill Cobbs', 'Ralph Waite', 'Tomas Arana', 'Michele Lamar Richards', 'Mike Starr', 'Christopher Birt', 'DeVaughn Nixon', 'Gerry Bamman', 'Joe Urla', 'Tony Pierce', 'Charles Keating', 'Robert Wuhl', 'Debbie Reynolds', 'Danny Kamin', 'Richard Schiff', 'Nathaniel Parker', 'Bert Remsen', 'Stephen Shellen', 'Chris Connelly', 'Patricia Healy', 'Blumen Young', 'Linda Thompson', 'Towanna King', 'David Foster', 'Ethel Ayler', 'Donald Hotton', 'Nita Whitaker', 'Jennifer Lyon-Buchanan', 'Victoria Bass', 'David Joseph Martinez', 'Michael George']","['Warner Bros. Pictures', 'Tig Productions', 'Kasdan Pictures']",1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1544.02696,2,30,0.8823529411764706,0,0,22,5,5.0,5,5,5,3,1.0,1,0,2
1330,The Ninth Gate,38000000,58401898,133,['Roman Polanski'],"['Johnny Depp', 'Frank Langella', 'Lena Olin', 'Emmanuelle Seigner', 'Barbara Jefford', 'Jack Taylor', 'James Russo', 'Allen Garfield', 'Tony Amoni', 'Jacques Dacqmine', 'Joe Sheridan', 'Rebecca Pauly', 'Catherine Benguigui', 'Maria Ducceschi', 'Jacques Collard', 'Dominique Pozzetto', 'Emanuel Booz', 'Lino Ribeiro de Sousa', 'Asil Raïs', 'Bernard Richier', 'Marinette Richier']","['Canal+', 'Bac Films', 'Kino Visión', 'Orly Films', 'R.P. Productions', 'TF1 Films Production', 'Vía Digital', 'Origen Producciones Cinematograficas']",1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53.68920526315789,1,77,3.6666666666666665,0,0,71,4,4.0,4,4,4,5,0.625,0,0,3
1331,Trainspotting,4000000,16491080,94,['Danny Boyle'],"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Robert Carlyle', 'Kelly Macdonald', 'Kevin McKidd', 'Peter Mullan', 'James Cosmo', 'Eileen Nicholas', 'Susan Vidler', 'Pauline Lynch', 'Shirley Henderson', 'Stuart McQuarrie', 'Keith Allen', 'Kevin Allen', 'Eddie Nestor', 'Annie Louise Ross', 'Billy Riddoch', 'Dale Winton', 'Hugh Ross', 'Victor Eadie', 'Kate Donnelly', 'Fiona Bell']","['Channel Four Films', 'Noel Gay Motion Picture Company', 'Figment Films', 'Film4 Productions']",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,312.277,3,62,2.6956521739130435,0,0,40,9,9.0,9,9,9,2,0.5,0,0,2
1332,Interview with the Vampire,60000000,223664608,123,['Neil Jordan'],"['Brad Pitt', 'Tom Cruise', 'Kirsten Dunst', 'Antonio Banderas', 'Christian Slater', 'Stephen Rea', 'Thandiwe Newton', 'Domiziana Giordano', 'Sara Stockbridge', 'Indra Ové', 'Laure Marsac', 'Andrew Tiernan', 'Bellina Logan', 'George Kelly', 'Helen McCrory', 'Lyla Hay Owen', 'Nicole DuBois Favre', 'Mike Seelig', 'Monte Montague']",['Geffen Pictures'],1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,272.77434666666664,2,155,8.157894736842104,0,0,79,4,4.0,4,4,4,0,0.0,0,0,0
1333,The Usual Suspects,6000000,23341568,106,['Bryan Singer'],"['Gabriel Byrne', 'Stephen Baldwin', 'Kevin Spacey', 'Chazz Palminteri', 'Kevin Pollak', 'Pete Postlethwaite', 'Suzy Amis', 'Giancarlo Esposito', 'Benicio del Toro', 'Dan Hedaya', 'Paul Bartel', 'Carl Bressler', 'Christine Estabrook', 'Clark Gregg', 'Morgan Hunter', 'Louis Lombardi', 'Frank Medrano', 'Ron Gilbert', 'Peter Greene', 'Castulo Guerra', ""Vito D'Ambrosio"", 'Gene Lythgow', 'Bert Williams']","['Blue Parrot Productions', 'Bad Hat Harry Productions']",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,289.0261333333333,1,37,1.608695652173913,0,0,14,34,34.0,34,34,34,5,2.5,2,0,5
1334,Bridget Jones's Diary,25000000,281929795,97,['Sharon Maguire'],"['Renée Zellweger', 'Colin Firth', 'Hugh Grant', 'Gemma Jones', 'Jim Broadbent', 'James Callis', 'Sally Phillips', 'Shirley Henderson', 'Embeth Davidtz', 'Lisa Barbuscia', 'Celia Imrie', 'James Faulkner', 'Charmian May', 'Paul Brooke', 'Felicity Montagu', 'Neil Pearson', 'Honor Blackman', 'Patrick Barlow', 'Gareth Marks', 'Claire Skinner', 'Dolly Wells', 'Mark Lingwood', 'Sara Stockbridge', 'Donald Douglas', 'Dominic McHale', 'Joan Blackham', 'Emma Amos', 'Sulayman Al-Bassam', 'Lisa Kay', 'John Clegg', 'Renu Setna', 'Stewart Wright', 'Charlie Caine', 'Matthew Bates', 'Rebecca Charles', 'Salman Rushdie', 'Crispin Bonham-Carter', 'David Cann', 'Sarah Alexander', 'Joseph Alessi']","['Working Title Films', 'Little Bird']",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1027.71918,0,54,1.35,0,0,24,4,4.0,4,4,4,16,8.0,8,0,16
1335,Lost Highway,15000000,3675201,134,['David Lynch'],"['Bill Pullman', 'Patricia Arquette', 'Balthazar Getty', 'Robert Blake', 'Natasha Gregson Wagner', 'Richard Pryor', 'Lucy Butler', 'Michael Massee', 'Jack Nance', 'Jack Kehler', 'Henry Rollins', 'Giovanni Ribisi', 'Scott Coffey', 'Gary Busey', 'Robert Loggia', 'John Roselius', 'Louis Eppolito', 'Jenna Maetlind', 'Michael Shamus Wiles', 'Mink Stole', 'Leonard Termo', 'Ivory Ocean', 'David Byrd', 'Gene Ross', 'F. William Parker', 'Guy Siner', 'Alexander Folk', 'Carl Sundstrom', 'John Solari', 'Jack', 'Al Garrett', 'Heather Stephens', 'Amanda Anka', 'Jennifer Syme', 'Matt Sigloch', 'Greg Travis', 'Lisa Boyle', 'Leslie Bega', 'Marilyn Manson', 'Jeordie White', 'Dru Berrymore', 'Jan Citron', 'Bill McAdams Jr.', 'Lou Slaughter']","['CiBy 2000', 'October Films', 'Asymmetrical Productions', 'Lost Highway Productions']",1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-75.49866,3,40,0.9090909090909092,0,0,20,1,1.0,1,1,1,0,0.0,0,0,0
1336,Catch Me If You Can,52000000,352114312,141,['Steven Spielberg'],"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen', 'Nathalie Baye', 'Amy Adams', 'James Brolin', 'Jennifer Garner', 'Chris Ellis', 'Brian Howe', 'Steve Eastin', 'John Finn', 'Elizabeth Banks', 'Ellen Pompeo', 'Guy Thauvette', 'Kitty Carlisle', 'Kelly McNair', 'Sarah Rush', 'Jasmine Jessica Anthony', 'Celine du Tertre', 'Frank John Hughes', 'Nancy Lenehan', 'Candice Azzara', 'Kaitlin Doubleday', 'Matthew Kimbrough', 'Joshua Boyd', 'Jonathan Dankner', 'Maggie Mellin', 'Thomas Kopache', 'Margaret Travolta', 'Jimmie F. Skaggs', 'Alex Hyde-White', 'Lilyan Chauvin', 'Eugene Fleming', 'Robert Ruth', 'Jennifer Manley', 'James Morrison', 'Robert Symonds', 'Jennifer Kan', 'Robert Curtis Brown', 'Kelly Hutchinson', 'Steve Witting', 'Wendy Worthington', 'Jane Bodle', 'J. Patrick McCormack', 'Brian Goodman', 'Ray Proscia', 'Sarah Lancaster', 'Jill Matson', 'Mike Baldridge', 'Joel Ewing', 'Ritchie Montgomery', 'Jim Antonio', 'Angela Sorensen', 'Jonathan Brent', 'Benita Krista Nall', 'Shane Edelman', 'Andrew Meeks', 'Morgan Rusler', 'Jane Edith Wilson', 'Dave Hager', 'Kyle Davis', ""Patrick Thomas O'Brien"", 'Jaime Ray Newman', 'Deborah Kellner', 'Mercedes Cornett', 'Amy Acker', 'Robert Peters', 'James DuMont', 'Thomas Crawford', 'Malachi Throne', 'Alfred Dennis', 'Max Kerstein', 'Donna Kimball', 'Jan Munroe', 'Stephen Dunham', 'Brandon Keener', 'Anthony Powers', 'Lauren Cohn', 'Jeremy Howard', 'Jack Knight', 'Jamie Anderson', 'Kam Heskin', 'Stan Bly', 'Jamie Moss', 'Jessica Collins', 'Frank Abagnale Jr.', 'Roger Léger', 'Jean-François Blanchard', 'Mathieu Gaudreault', 'Guy-Daniel Tremblay', 'Alex Bisping', 'Patrice Dussault', 'Paul Todd', 'Jake Wagner', 'Ashley Cohen', 'Kelly Cohen', 'Ellis Hall', 'Fred Datig', 'Joe Garagiola', 'Dominic Bond', 'Jean-François Brousseau', 'Francis Campeau', 'Raphaël Cardin', 'Marc-Antoine Côté', 'Antoine Drolet-Dumoulin', 'Léon Dussault-Gagné', 'Simon Houle-Gauthier', 'Vincent Généreux', 'Sébastien Jean', 'Pascal Larouche', 'William Lauzon', 'Florent Legault', 'Jason McNally', 'Julien Normandeau', 'David Parent-Laliberté', 'Alexandre Pepin', 'Nicolas Radeschi', 'Jonathan René', 'Samuel St-Amour', 'Jesse Heiman', 'Ryan Izay', 'Nick Zano', 'Nicole Andrews', 'Evis Xheneti', 'Gina Aponte']","['Kemp Company', 'Splendid Pictures', 'Parkes/MacDonald Productions']",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,577.1429076923077,2,228,1.809523809523809,0,0,73,100,100.0,100,100,100,5,1.6666666666666667,0,0,5
1337,Requiem for a Dream,4500000,7390108,102,['Darren Aronofsky'],"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans', 'Christopher McDonald', 'Keith David', 'Louise Lasser', 'Marcia Jean Kurtz', 'Janet Sarno', 'Suzanne Shepherd', 'Joanne Gordon', 'Charlotte Aronofsky', 'Mark Margolis', 'Michael Kaycheck', 'Peter Maloney', 'Denise Dowse', 'Olga Merediz', 'Ben Shenkman', 'Dylan Baker', 'Bill Buell', 'Lianna Pai', 'Stanley B. Herman', 'Gregg Bello', ""Shaun O'Hagan"", 'Jimmie Ray Weeks', ""Jack O'Connell"", 'Chas Mastin', 'Ajay Naidu', 'Sean Gullette', 'Samia Shoaib', 'Abraham Abraham', 'Aliya Campbell', ""Te'ron A. O'Neal"", 'Bryan Chattoo', 'Eddie De Harp', 'Peter Cheyenne', 'Brian Costello', 'Abraham Aronofsky', 'Allison Furman', 'Leland Gantt', 'Henry Stram', 'Heather Litteer', 'Jenny Decker', 'Nina Zavarin', 'Scott Bader', 'Jim Centofanti', 'Scott Chait', 'Daniel Clarin', 'Ben Cohen', 'Eric Cohen', 'Brett Feinstein', 'Ricky Fier', 'John Getz', 'Andrew Kessler', 'Ross Lombardo', 'Carter Mansbach', 'Scott Miller', 'Todd Miller', 'Craig Rallo', 'Geordan Reisner', 'Keith Scandore', 'David Seltzer', 'Chris Varvaro', 'Chad Weiner', 'Jesse Weissberger', 'Greg Weissman']","['Thousand Words', 'Artisan Entertainment', 'Protozoa Pictures']",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64.22462222222222,2,21,0.3181818181818182,0,0,9,7,7.0,7,7,7,33,11.0,1,0,32
1338,A.I. Artificial Intelligence,100000000,235926552,146,['Steven Spielberg'],"['Haley Joel Osment', 'Jude Law', ""Frances O'Connor"", 'Sam Robards', 'Jake Thomas', 'William Hurt', 'Robin Williams', 'Ben Kingsley', 'Meryl Streep', 'Chris Rock', 'Ken Leung', 'Clark Gregg', 'Kevin Sussman', 'Tom Gallop', 'Eugene Osment', 'April Grace', 'Matt Winston', 'Sabrina Grdevich', 'Theo Greenly', 'Michael Mantell', 'Brian Turk', 'Brendan Gleeson', 'Jack Angel', 'Enrico Colantoni', 'Adrian Grenier', 'Matt Malloy', 'Brent Sexton', 'Erik Bauersfeld', 'Michael Fishman', 'Diane Fletcher', 'Al Jourgensen', 'Paul Barker', 'Vito Carenzo', 'Adam Grossman', 'Rena Owen', 'Adam Alexi-Malle', 'Laurence Mason', 'Ashley Scott', 'Ty Coon', 'Duane Buford', 'Max Brody', 'Red King', 'Claude Gilbert', 'Kate Nei', 'Laia Salla', 'Jeanine Salla', 'Mark Allan Staubach', 'Miguel Pérez', 'Billy Scudder', 'Bobby Harwell', 'Wayne Wilderson', 'R. David Smith', 'Jim Jansen', 'Tim Rhoze', 'Clara Bellar', 'Kelly McCool', 'Michael Shamus Wiles', 'Jason Sutter', 'Ken Palmer', 'Lily Knight', 'Justina Machado', 'Daveigh Chase', 'Kathryn Morris', 'Hunter King', 'Michael Berresse', 'Paula Malcomson', 'John Prosky', 'Curt Youngberg', 'Andy Morrow', 'Dillon McEwin', 'Jeremy James Kissner']","['DreamWorks Pictures', 'Amblin Entertainment', 'Warner Bros. Pictures', 'Stanley Kubrick Productions']",1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,135.926552,1,200,2.816901408450704,0,0,32,100,100.0,100,100,100,60,15.0,14,0,32
1339,Boyz n the Hood,6500000,57504069,112,['John Singleton'],"['Laurence Fishburne', 'Cuba Gooding Jr.', 'Ice Cube', 'Morris Chestnut', 'Angela Bassett', 'Nia Long', 'Tyra Ferrell', 'Lexie Bigham', 'Desi Arnez Hines II', 'John Cothra', 'r.', 'Jessie Lawrence Ferguson', 'Tammy Hanson', 'Regina King', 'Yolanda Whittaker', 'Alysia Rogers', 'Leonette Scott', 'Esther Scott']",['Columbia Pictures'],1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,784.6779846153846,1,46,2.555555555555556,0,0,18,6,6.0,6,6,6,94,94.0,94,94,94
1340,Troy,175000000,497409852,163,['Wolfgang Petersen'],"['Brad Pitt', 'Orlando Bloom', 'Eric Bana', 'Brian Cox', 'Sean Bean', 'Brendan Gleeson', 'Diane Kruger', ""Peter O'Toole"", 'Rose Byrne', 'Saffron Burrows', 'Garrett Hedlund', 'Vincent Regan', 'Julie Christie', 'Nathan Jones', 'Mark Lewis Jones', 'John Shrapnel', 'James Cosmo', 'Nigel Terry', 'Julian Glover', 'Trevor Eve', 'Frankie Fitzgerald', 'Siri Svegler', 'Ken Bones', 'Manuel Cauchi', 'Owain Yeoman', 'Tyler Mane', 'Louis Dempsey', 'Joshua Richards', 'Tim Chipping', 'Desislava Stefanova', 'Tanja Tzarovska', 'Luke Tal', 'Matthew Tal', 'Adoni Maropis']","['Plan B Entertainment', 'Warner Bros. Pictures', 'Nimar Studios', 'Radiant Productions', 'Helena Productions', 'Latina Pictures']",1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,184.23420114285716,0,111,3.264705882352941,0,0,47,17,17.0,17,17,17,15,2.5,1,0,10
1341,Saw IV,10000000,139352633,96,['Darren Lynn Bousman'],"['Tobin Bell', 'Costas Mandylor', 'Scott Patterson', 'Betsy Russell', 'Lyriq Bent', 'Athena Karkanis', 'Louis Ferreira', 'Simon Reynolds', 'Donnie Wahlberg', 'Angus Macfadyen', 'Shawnee Smith', 'Bahar Soomekh', 'Dina Meyer', 'Mike Realba', 'Marty Adams', 'Sarain Boylan', 'Billy Otis', 'James Van Patten', 'David Boyce', 'Kevin Rushton', 'Julian Richings', 'Kelly Jones', 'Ingrid Hart', 'Niamh Wilson', 'Janet Land', 'Ron Lea', 'Joanne Boland', 'Zoe Heath', 'Bill Vibert', 'Devon Bostick', 'Tony Nappo', 'Emmanuelle Vaugier', 'Noam Jenkins', 'Mike Butters', 'J. LaRose', 'Alison Luther', 'Kim Roberts', 'David Webster', 'Sandra Manson', 'Shauna Black', 'Darrell Dennis', 'Tracey Ferencz', 'Catherine Fitch', 'Christopher Marren', 'Christopher Morris', 'Geoffrey Pounsett']","['Lionsgate', 'Twisted Pictures']",4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1293.52633,2,13,0.2826086956521739,0,0,9,4,4.0,4,4,4,22,11.0,11,1,21
